,Date,Commodity,Modal,Market
0,01-01-2019,Rice,4300.673749,Bengaluru
1,02-01-2019,Rice,4304.939384,Bengaluru
2,03-01-2019,Rice,4300.362427,Bengaluru
3,04-01-2019,Rice,4305.681385,Bengaluru
4,05-01-2019,Rice,4299.785766,Bengaluru
5,06-01-2019,Rice,4304.490906,Bengaluru
6,07-01-2019,Rice,4306.026732,Bengaluru
7,08-01-2019,Rice,4303.547577,Bengaluru
8,09-01-2019,Rice,4304.194305,Bengaluru
9,10-01-2019,Rice,4307.114048,Bengaluru
10,11-01-2019,Rice,4298.471323,Bengaluru
11,12-01-2019,Rice,4298.097928,Bengaluru
12,13-01-2019,Rice,4300.918888,Bengaluru
13,14-01-2019,Rice,4304.848829,Bengaluru
14,15-01-2019,Rice,4301.043238,Bengaluru
15,16-01-2019,Rice,4305.531638,Bengaluru
16,17-01-2019,Rice,4300.566052,Bengaluru
17,18-01-2019,Rice,4304.530017,Bengaluru
18,19-01-2019,Rice,4305.823883,Bengaluru
19,20-01-2019,Rice,4303.735348,Bengaluru
20,21-01-2019,Rice,4304.280178,Bengaluru
21,22-01-2019,Rice,4306.739886,Bengaluru
22,23-01-2019,Rice,4299.458909,Bengaluru
23,24-01-2019,Rice,4299.144347,Bengaluru
24,25-01-2019,Rice,4301.626992,Bengaluru
25,26-01-2019,Rice,4305.609825,Bengaluru
26,27-01-2019,Rice,4301.682697,Bengaluru
27,28-01-2019,Rice,4306.301961,Bengaluru
28,29-01-2019,Rice,4301.189839,Bengaluru
29,30-01-2019,Rice,4305.270583,Bengaluru
30,31-01-2019,Rice,4306.602572,Bengaluru
31,01-02-2019,Rice,4304.452491,Bengaluru
32,02-02-2019,Rice,4305.013376,Bengaluru
33,03-02-2019,Rice,4307.545567,Bengaluru
34,04-02-2019,Rice,4300.050033,Bengaluru
35,05-02-2019,Rice,4299.726201,Bengaluru
36,06-02-2019,Rice,4302.262151,Bengaluru
37,07-02-2019,Rice,4306.23665,Bengaluru
38,08-02-2019,Rice,4302.328672,Bengaluru
39,09-02-2019,Rice,4306.927317,Bengaluru
40,10-02-2019,Rice,4301.838283,Bengaluru
41,11-02-2019,Rice,4305.900628,Bengaluru
42,12-02-2019,Rice,4307.22661,Bengaluru
43,13-02-2019,Rice,4305.086226,Bengaluru
44,14-02-2019,Rice,4305.644582,Bengaluru
45,15-02-2019,Rice,4308.165352,Bengaluru
46,16-02-2019,Rice,4300.703624,Bengaluru
47,17-02-2019,Rice,4300.381252,Bengaluru
48,18-02-2019,Rice,4302.908803,Bengaluru
49,19-02-2019,Rice,4306.884616,Bengaluru
50,20-02-2019,Rice,4302.97362,Bengaluru
51,21-02-2019,Rice,4307.575514,Bengaluru
52,22-02-2019,Rice,4302.482842,Bengaluru
53,23-02-2019,Rice,4306.548086,Bengaluru
54,24-02-2019,Rice,4307.875015,Bengaluru
55,25-02-2019,Rice,4305.733102,Bengaluru
56,26-02-2019,Rice,4306.291857,Bengaluru
57,27-02-2019,Rice,4308.814427,Bengaluru
58,28-02-2019,Rice,4301.347372,Bengaluru
59,01-03-2019,Rice,4301.02477,Bengaluru
0,28-12-2018,Onion,1431.227104,Kolar
1,29-12-2018,Onion,1484.405233,Kolar
2,30-12-2018,Onion,1496.609508,Kolar
3,31-12-2018,Onion,1474.383561,Kolar
4,01-01-2019,Onion,1471.063775,Kolar
5,02-01-2019,Onion,1499.826053,Kolar
6,03-01-2019,Onion,1503.719604,Kolar
7,04-01-2019,Onion,1471.761479,Kolar
8,05-01-2019,Onion,1509.672278,Kolar
9,06-01-2019,Onion,1454.272263,Kolar
10,07-01-2019,Onion,1512.537135,Kolar
11,08-01-2019,Onion,1512.630463,Kolar
12,09-01-2019,Onion,1520.525473,Kolar
13,10-01-2019,Onion,1560.841727,Kolar
14,11-01-2019,Onion,1563.421421,Kolar
15,12-01-2019,Onion,1534.314936,Kolar
16,13-01-2019,Onion,1524.455624,Kolar
17,14-01-2019,Onion,1540.293206,Kolar
18,15-01-2019,Onion,1539.135354,Kolar
19,16-01-2019,Onion,1504.318921,Kolar
20,17-01-2019,Onion,1537.075673,Kolar
21,18-01-2019,Onion,1480.910266,Kolar
22,19-01-2019,Onion,1534.135028,Kolar
23,20-01-2019,Onion,1531.980454,Kolar
24,21-01-2019,Onion,1538.508377,Kolar
25,22-01-2019,Onion,1577.715039,Kolar
26,23-01-2019,Onion,1579.287852,Kolar
27,24-01-2019,Onion,1549.263471,Kolar
28,25-01-2019,Onion,1538.645705,Kolar
29,26-01-2019,Onion,1554.13835,Kolar
30,27-01-2019,Onion,1552.435968,Kolar
31,28-01-2019,Onion,1517.092783,Kolar
32,29-01-2019,Onion,1549.511144,Kolar
33,30-01-2019,Onion,1492.904894,Kolar
34,31-01-2019,Onion,1545.934374,Kolar
35,01-02-2019,Onion,1543.526988,Kolar
36,02-02-2019,Onion,1549.815473,Kolar
37,03-02-2019,Onion,1588.814734,Kolar
38,04-02-2019,Onion,1590.212443,Kolar
39,05-02-2019,Onion,1560.040552,Kolar
40,06-02-2019,Onion,1549.295431,Kolar
