Commodity,Date,Arrival (unit quintal)
Tomato,13-01-2019,13549.3253
Tomato,20-01-2019,10866.728990000001
Tomato,27-01-2019,11096.12067
Tomato,03-02-2019,12601.19155
Tomato,10-02-2019,15356.283019999999
Tomato,17-02-2019,12911.88536
Tomato,24-02-2019,12768.424340000001
Tomato,03-03-2019,14277.1737
Tomato,10-03-2019,17222.148999999998
Tomato,17-03-2019,13397.94848
Tomato,24-03-2019,11686.98547
Tomato,31-03-2019,14975.965619999999
Tomato,07-04-2019,15681.955419999998
Tomato,14-04-2019,13336.08125
Tomato,21-04-2019,12123.53964
Tomato,28-04-2019,15186.71749
Tomato,05-05-2019,15019.84806
Tomato,12-05-2019,13090.591359999999
Tomato,19-05-2019,13325.715909999999
Tomato,26-05-2019,15695.87466
Tomato,02-06-2019,15879.869880000002
Tomato,09-06-2019,12363.0092
Tomato,16-06-2019,11056.861
Tomato,23-06-2019,14001.1343
Tomato,30-06-2019,15053.97551
